Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,PX,PZ,S0X_time_1.086e-05,S0X_time_3.256e-05,S0X_time_5.426e-05,S0X_time_8.680e-05,S0X_time_1.411e-04,S0X_time_2.279e-04,S0X_time_3.689e-04,S0X_time_5.860e-04,S0X_time_9.115e-04,S0X_time_1.411e-03,S0X_time_2.192e-03,S0X_time_3.418e-03,S0X_time_5.339e-03,S0X_time_8.301e-03,S0X_time_1.338e-02,S0Z_time_1.086e-05,S0Z_time_3.256e-05,S0Z_time_5.426e-05,S0Z_time_8.680e-05,S0Z_time_1.411e-04,S0Z_time_2.279e-04,S0Z_time_3.689e-04,S0Z_time_5.860e-04,S0Z_time_9.115e-04,S0Z_time_1.411e-03,S0Z_time_2.192e-03,S0Z_time_3.418e-03,S0Z_time_5.339e-03,S0Z_time_8.301e-03,S0Z_time_1.338e-02
10.0,0.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.554617730977077,2.787668154919391,2.3405523025377026,1.9565222894027834,1.5685150351441488,1.2025565701666234,0.8921483483080288,0.6559131136535281,0.49965766665397315,0.3930839717012278,0.3148806339878226,0.23883538067159255,0.18326015517019725,0.13418341301149905,0.08522915634291826,6.693048837652287,4.865242644763596,4.280709330328593,3.766249504869187,3.2329773433294444,2.673660081748462,2.135465657885295,1.6976436589003505,1.3783245580078078,1.146977739867516,0.9549383719318072,0.7892464806175512,0.6324569160351546,0.49440156459126755,0.3607823365467135
11.0,0.0,11.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.581160442372502,2.8304550533231887,2.3562392588573746,1.985312998673379,1.5918603631114483,1.2268329365350423,0.9004372012308469,0.6479054848544649,0.4784686587200748,0.3802760126434251,0.2964778351472688,0.23190877700222756,0.17077641386768433,0.12380477366703843,0.07858470344284335,6.711623623698467,4.8982979053711055,4.316534413552237,3.8178491692825323,3.265824595890288,2.7059119250528485,2.1533624181087925,1.6936564336273698,1.3496678520247145,1.1056857889381064,0.91979832034527,0.7575134926226504,0.6033036540039045,0.4724414044598137,0.3481734835895166
12.0,0.0,12.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.57755392841994,2.8847103346914027,2.395536263907665,2.007392291346606,1.622607324807568,1.2411850042873906,0.9075319231948197,0.6484753325197468,0.47206869243878796,0.3630557001196736,0.27929846380391804,0.2076721083888546,0.1621785712333115,0.11720904184370741,0.07735903580173409,6.718014863123821,4.9472922664517585,4.346556794020528,3.851706222101205,3.295862177903133,2.7380735094904742,2.182002005091265,1.7011559151436098,1.334197321002745,1.0765502203410726,0.8861072602067165,0.7210751728493412,0.5797345678373955,0.4542720256537247,0.3344929007006419
13.0,0.0,13.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.57884511230342,2.878528466181355,2.4305880273472753,2.0268791410741605,1.6292030552326677,1.2571646248620982,0.9099185312077079,0.6425936001496952,0.4625910165316057,0.344328982064492,0.2656520672678878,0.19921127400310204,0.1587112116686533,0.10535707362295274,0.07488815552796958,6.752651366551488,4.977546288251948,4.395078966979853,3.8870984962434965,3.332660488382564,2.7723433857435906,2.2030097367664507,1.7068039957838534,1.3278633550998182,1.0521059214150208,0.8565925728454111,0.6955736765301493,0.5569683038428397,0.4394415585036043,0.3224965553142884
14.0,0.0,14.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.5775195333753,2.9238474292899856,2.4513200519090796,2.061226292833651,1.660430112071108,1.276328039924906,0.9278704644496872,0.6489961185741984,0.4585885156080443,0.3325564892154383,0.2568599361736718,0.19882565655086415,0.14795453443575501,0.10681138575690997,0.07008227309342023,6.755243166798037,5.027321288256436,4.444390283065569,3.9243448041326188,3.3762111242269017,2.792531353730372,2.2280245364464055,1.7200757221182439,1.3216118614596073,1.0346289659671317,0.8293520139843022,0.6693044103490685,0.5400210101837286,0.41959644636864557,0.31039601555109836
15.0,0.0,15.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.601592449662964,2.974344815215277,2.483725632114896,2.0838947358661306,1.677275390923792,1.2955265012393122,0.9230134573659267,0.6539415267951347,0.45377785133848053,0.3267507213070387,0.245251825363842,0.1852742289711162,0.13733849239555068,0.10067236832488989,0.06993543628312801,6.7710129069891325,5.071972755779763,4.482427586402236,3.9668428941461467,3.398339774875281,2.8275136885704257,2.245148069364645,1.7284728588342098,1.314505994270317,1.0132378580158046,0.8062317354019027,0.6478534614608791,0.513911846310896,0.40321639641993157,0.2984991774343451
16.0,0.0,16.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.6177084399647805,2.971769699832076,2.525390490448433,2.104186120656864,1.6926930150102368,1.305643710753804,0.9492237111229531,0.66628647345169,0.45304886783149606,0.31908384026390174,0.22983843057618492,0.1748663102434425,0.1339008569137935,0.09746239475216971,0.06421900635450435,6.809699884933365,5.114357980947737,4.521126770049965,4.002533943926527,3.440600481069729,2.871342815515894,2.27088762489127,1.7380086972808204,1.3155354498915768,1.0036468324040733,0.7806593080804427,0.6201756517829786,0.49402141018466283,0.38942828626329656,0.29004853850230555
17.0,0.0,17.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.633099478813148,3.0139709234748318,2.5243350056849936,2.1391067641607733,1.70883079363898,1.3287920556477308,0.9561537310314243,0.6712929337229663,0.4521981343591714,0.3037612437881701,0.22992192913950202,0.16561863058048285,0.12453389937607766,0.08888375083107494,0.06321031616471962,6.834174080842047,5.1375063977521735,4.55890395301609,4.053610324033063,3.4888244169234937,2.89570069057776,2.3074405067569335,1.759468990864533,1.3242608431056784,0.9907455558197823,0.762649234444784,0.6037422374610308,0.4786272491900173,0.3743914983490614,0.28081849868417247
18.0,0.0,18.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.662567212659137,3.06579777490166,2.5861948206081977,2.1586026308264263,1.7504392516685587,1.3344370257890594,0.9707006302591783,0.6684889830464092,0.45304148271224376,0.3036775217454176,0.21188069239600274,0.1620276307971945,0.11579177812899653,0.08954960310624524,0.05893739167446575,6.847306113411815,5.171112208718153,4.600482875183254,4.080073007025745,3.516194760640666,2.9213485645518613,2.327417369071953,1.7759432034729241,1.3309443956404592,0.9891378957619813,0.7452719811342521,0.5838330670205096,0.46260489120363407,0.3620135048140694,0.2681788099328825
19.0,0.0,19.0,0.0,120.0,0.0,0.0,0.0,0.0,-107.0,0.0,-45.0,0.0,0.0,0.0,34.27253218749016,17.55503396713325,4.664684060473789,3.058567247408236,2.6012259384761007,2.187709370698576,1.7572304002974155,1.3353508281678723,0.9882267534748896,0.6758655739874904,0.4490624819052877,0.307932126188595,0.2113458609999119,0.1525317794315485,0.1104468373063008,0.08133854235230481,0.05547179915338812,6.870671716808442,5.224950794521245,4.629432856303113,4.120539255879935,3.550501003364243,2.949312187460633,2.349248292005605,1.79152461504531,1.337253321479192,0.9818797319064899,0.7375667180268287,0.5671742919321908,0.44839281356362,0.3486863967468773,0.260600227777618
