Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
48.0,0.0,48.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.254046116829603e-10,1.1320985094396088e-10,1.0057276846392983e-10,8.778145582074454e-11,7.510636050356271e-11,6.317677235587379e-11,5.218448314962148e-11,4.201485171627481e-11,3.290766111487858e-11,2.5201110148799548e-11,1.8823733653702568e-11,1.3692239934254047e-11,9.744245549578241e-12,6.765286894761679e-12,4.5775968048207246e-12,3.020129124552107e-12,1.948296210919974e-12,1.2274810427218718e-12,7.569890635890041e-13,4.58107095203466e-13,2.7400967485375566e-13,1.6273942274159659e-13,9.575750465132811e-14,5.5352980194418385e-14,3.146331701405858e-14,1.712584560142203e-14,2.999741989077567e-09,1.9086205786221174e-09,1.3223771836328296e-09,9.322910540776958e-10,6.565029458591e-10,4.6074438988514284e-10,3.2264428958403353e-10,2.2382149513865897e-10,1.533400249154474e-10,1.0311927819235445e-10,6.748757747705721e-11,4.3419909387594317e-11,2.7307807669180974e-11,1.6756317722848576e-11,1.007476517609325e-11,5.899775372511646e-12,3.367709983301904e-12,1.874863681778812e-12,1.0201957669623123e-12
49.0,0.0,49.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.2824376351877754e-10,1.1571958409622652e-10,1.0275097036361468e-10,8.962975306614055e-11,7.663782515628801e-11,6.441957184333077e-11,5.317151158174698e-11,4.277479370467151e-11,3.3473735060232106e-11,2.5612075600213085e-11,1.9113326020482617e-11,1.3890139592010275e-11,9.876162858274243e-12,6.850809420570846e-12,4.631440493064974e-12,3.0530241084289537e-12,1.9676534532717356e-12,1.2382219893729026e-12,7.624026447195236e-13,4.604596754955922e-13,2.748526041102551e-13,1.6300194756780365e-13,9.588058302691075e-14,5.545455861573753e-14,3.1586858023065925e-14,1.723473531525994e-14,3.049034915340571e-09,1.9571025967078267e-09,1.359109091993232e-09,9.58634226079542e-10,6.748542865799077e-10,4.733012400360575e-10,3.311232075654701e-10,2.29455825020873e-10,1.5701558600234337e-10,1.0545880732000891e-10,6.892971920721487e-11,4.4289651238514546e-11,2.781931254854227e-11,1.704844117443222e-11,1.0238090453295025e-11,5.988376154587495e-12,3.4146297428833155e-12,1.8992221387123633e-12,1.0328006878163087e-12
50.0,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.311680480415682e-10,1.1830249867380745e-10,1.0499069986923893e-10,9.15284145515768e-11,7.820937968879822e-11,6.569350302774997e-11,5.418212796323112e-11,4.355196596597362e-11,3.405192299798458e-11,2.603131105442641e-11,1.9408376544965258e-11,1.4091519262533933e-11,1.0010239420232337e-11,6.937634766209665e-12,4.686058694714166e-12,3.0863985782611735e-12,1.987347344234922e-12,1.249236387192188e-12,7.680417970737912e-13,4.629747446374393e-13,2.7578527969500575e-13,1.6329542571810764e-13,9.600220633090851e-14,5.554331122695657e-14,3.169615878655891e-14,1.7333984188152545e-14,3.103452895358371e-09,2.0084393374538906e-09,1.3975933635176013e-09,9.861134675680472e-10,6.939393617562365e-10,4.863278079492639e-10,3.39900112783651e-10,2.352753768426877e-10,1.608043323975545e-10,1.0786551918605201e-10,7.041032495975201e-11,4.518090351968692e-11,2.8342496003813176e-11,1.7346707322037803e-11,1.0404559414993669e-11,6.078515976004229e-12,3.4622490991783528e-12,1.923854380599617e-12,1.045490282805086e-12
51.0,0.0,51.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.3418049933941217e-10,1.2096112777399988e-10,1.0729400900771261e-10,9.347905687448311e-11,7.982225272120648e-11,6.699947418354124e-11,5.521698309983984e-11,4.434681589100105e-11,3.464251893944488e-11,2.6459001515061014e-11,1.97089967373903e-11,1.4296442521308993e-11,1.0146509392247576e-11,7.025778807177452e-12,4.741454078365493e-12,3.1202438376635154e-12,2.0073602886104046e-12,1.2605037980147107e-12,7.738908186936936e-13,4.656456679804826e-13,2.768087813383025e-13,1.6362419020535075e-13,9.612634316773712e-14,5.5621980702394686e-14,3.1792567105389994e-14,1.7424141031496287e-14,3.163168605723364e-09,2.062737089336615e-09,1.437910253081575e-09,1.0147822642312762e-09,7.137917870269075e-10,4.998444266315713e-10,3.489871695914069e-10,2.41287248125755e-10,1.6471029468670743e-10,1.103416488868986e-10,7.19305757010688e-11,4.609427916919031e-11,2.8877667379254752e-11,1.765126881408885e-11,1.0574248234010832e-11,6.170236068480203e-12,3.5105955087308847e-12,1.9487801059597214e-12,1.0582739866743497e-12
52.0,0.0,52.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.3728427900041192e-10,1.236981082177401e-10,1.0966302985361094e-10,9.548335736878831e-11,8.14777167652118e-11,6.83384246917215e-11,5.6276748777211564e-11,4.515980489221246e-11,3.5245826031118924e-11,2.689533757963083e-11,2.0015301628124407e-11,1.450497514364829e-11,1.0285008380926078e-11,7.115258749098319e-12,4.797631170301316e-12,3.1545539099828688e-12,2.027677733879377e-12,1.2720060174570263e-12,7.799346618192278e-13,4.684651467385414e-13,2.779231009907888e-13,1.6399176593710074e-13,9.625657231977193e-14,5.569313994072862e-14,3.187744224650762e-14,1.7505767396705762e-14,3.2283631926268164e-09,2.12011227291598e-09,1.4801458843243883e-09,1.0446973688728425e-09,7.34447058244378e-10,5.138724654744025e-10,3.5839710568663984e-10,2.474988464020957e-10,1.6873766425093454e-10,1.1288951248685944e-10,7.349169133651852e-11,4.703040887130884e-11,2.942514369289378e-11,1.7962281060094203e-11,1.0747233407037224e-11,6.2635764048995945e-12,3.5596945124283454e-12,1.9740178769624893e-12,1.0711618983027416e-12
53.0,0.0,53.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.4048268224179391e-10,1.265161852992696e-10,1.1209997763423409e-10,9.754305629269233e-11,8.317708971507609e-11,6.97113260635399e-11,5.73621183172883e-11,4.599140871580506e-11,3.586215672893375e-11,2.73405154928674e-11,2.0327409795432473e-11,1.471718511713043e-11,1.042577341291383e-11,7.20609298570252e-12,4.854596034077718e-12,3.189325105157286e-12,2.0482878246573993e-12,1.2837269919633374e-12,7.861590971629338e-13,4.714254556482145e-13,2.791273025030961e-13,1.6440092533074503e-13,9.639608691525286e-14,5.575918607968024e-14,3.19521425938888e-14,1.7579436981172058e-14,3.299228754589964e-09,2.180692320869281e-09,1.5243925885472811e-09,1.0759190103592893e-09,7.559426554346436e-10,5.284343876873975e-10,3.6814324206370617e-10,2.539179036567514e-10,1.728908002245232e-10,1.1551151014126858e-10,7.509493218703532e-11,4.7989941714060864e-11,2.9985249961190304e-11,1.8279902450975505e-11,1.092359202320693e-11,6.35857604238905e-12,3.6095699791454652e-12,1.999585034406987e-12,1.0841644048973909e-12
54.0,0.0,54.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.4377914302904363e-10,1.2941821750756516e-10,1.1460715453253048e-10,9.965995953329595e-11,8.492173649147754e-11,7.111918283934517e-11,5.847380707324063e-11,4.6842117770772766e-11,3.649183300602053e-11,2.7794737198295245e-11,2.0645443373430885e-11,1.4933142644693688e-11,1.0568842916828164e-11,7.298300996801462e-12,4.9123560168107015e-12,3.224555650474843e-12,2.0691810782808775e-12,1.295652705439388e-12,7.925508278174314e-13,4.745186465744184e-13,2.804196727594318e-13,1.648537479320817e-13,9.654770245495864e-14,5.582233697365789e-14,3.201801342009632e-14,1.764573397159757e-14,3.3759709077069627e-09,2.244616532379152e-09,1.5707492841176688e-09,1.1085111178558686e-09,7.783181513209548e-10,5.435538118406881e-10,3.782395249884665e-10,2.605524912857274e-10,1.7717423672328015e-10,1.182101293685967e-10,7.674160051131874e-11,4.897354585054398e-11,3.055831951391505e-11,1.8604294553551773e-11,1.1103401983333844e-11,6.4552734157874235e-12,3.6602443515633324e-12,2.0254976855377605e-12,1.0972918860937452e-12
55.0,0.0,55.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.4717724127629244e-10,1.3240718178340157e-10,1.171869528235762e-10,1.0183594080486295e-10,8.671307061493248e-11,7.256303374846998e-11,5.961255305339078e-11,4.77124374513034e-11,3.713518651775841e-11,2.8258210385242945e-11,2.0969528072500415e-11,1.5152920146399045e-11,1.071425670338029e-11,7.391903270844577e-12,4.9709195499649984e-12,3.260245379570077e-12,2.0903500855870066e-12,1.307771045709356e-12,7.990975607765937e-13,4.777367200268828e-13,2.8179786266038544e-13,1.6535168248391718e-13,9.671386825814856e-14,5.588462990486963e-14,3.207637517835857e-14,1.7705250678142565e-14,3.45881137292583e-09,2.3120369199834015e-09,1.6193219022158681e-09,1.1425415590426708e-09,8.016153257198597e-10,5.592555778718643e-10,3.887005599030628e-10,2.674110355816242e-10,1.815926903808328e-10,1.2098794847982053e-10,7.843304207141387e-11,4.998190916724086e-11,3.114469430475672e-11,1.8935622287113448e-11,1.128674217997121e-11,6.553706585418956e-12,3.711738882837152e-12,2.0517707447936665e-12,1.1105544885759811e-12
56.0,0.0,56.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.5068070925348172e-10,1.3548617875591556e-10,1.198418586226115e-10,1.0407294430012716e-10,8.855255592624824e-11,7.404395277505001e-11,6.077911750661983e-11,4.8602888479294405e-11,3.7792558796119305e-11,2.873114853994923e-11,2.129979318628938e-11,1.5376592253180556e-11,1.0862055948908784e-11,7.486921247368719e-12,5.030295992283968e-12,3.296395471331632e-12,2.1117892390067945e-12,1.3200716594383899e-12,8.057880434878397e-13,4.810717668991551e-13,2.8325901682766476e-13,1.658956100655628e-13,9.689668186531086e-14,5.5947922296210005e-14,3.2128512622034426e-14,1.775858444410251e-14,3.5479905390925975e-09,2.3831190743585e-09,1.6702238610227233e-09,1.178082391450489e-09,8.258782876873506e-10,5.755658177544474e-10,3.9954164711017324e-10,2.745023337910392e-10,1.861510682353052e-10,1.2384764016687642e-10,8.017064773734073e-11,5.1015739961920235e-11,3.174472522185279e-11,1.9274054087901404e-11,1.1473692646834012e-11,6.6539134441930716e-12,3.764073856903129e-12,2.078418011046962e-12,1.1239619618905166e-12
57.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.5429343847809667e-10,1.3865843817190465e-10,1.225744556858702e-10,1.0637298737093081e-10,9.044170836335068e-11,7.556305028914817e-11,6.197428555332739e-11,4.9514007259175117e-11,3.846430144041538e-11,2.921377100134715e-11,2.1636371599559163e-11,1.56042357966999e-11,1.1012283177084957e-11,7.583377271380036e-12,5.090495506250965e-12,3.3330082324964406e-12,2.1334944884358848e-12,1.3325458020009222e-12,8.126120720654018e-13,4.845160830798854e-13,2.847998913798651e-13,1.6648590708176693e-13,9.709790591595698e-14,5.601389418820163e-14,3.2175664990104194e-14,1.7806334124196818e-14,3.6437699802230923e-09,2.4580430764767458e-09,1.7235765862645157e-09,1.2152101272032508e-09,8.511536076947342e-10,5.925120308082593e-10,4.1077881907116387e-10,2.818355708254103e-10,1.908544760067534e-10,1.2679197524493135e-10,8.195585512588084e-11,5.2075767633663856e-11,3.235877240120746e-11,1.9619762065551198e-11,1.166433468460194e-11,6.755931889492502e-12,3.8172687883481906e-12,2.105452268085819e-12,1.1375235466354306e-12
58.0,0.0,58.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.580194868938864e-10,1.4192732445075248e-10,1.2538742936201337e-10,1.0873816330301038e-10,9.238209781155699e-11,7.712147421831431e-11,6.319886685897784e-11,5.044634625023772e-11,3.915077630742369e-11,2.9706303024958125e-11,2.197939979647158e-11,1.5835929795626063e-11,1.1164982238535626e-11,7.681294555338716e-12,5.151528960700018e-12,3.3700869175892797e-12,2.1554631242766402e-12,1.345186187329795e-12,8.195604770521778e-13,4.880622597074097e-13,2.8641695950446004e-13,1.671225070596998e-13,9.73189870227364e-14,5.608405224793776e-14,3.221901742121587e-14,1.78490963272488e-14,3.746434938820356e-09,2.537004485614395e-09,1.7795100724387775e-09,1.2540060132280954e-09,8.774904621907995e-10,6.10123163401051e-10,4.2242887919616897e-10,2.8942033674256165e-10,1.9570822679392422e-10,1.298238265367137e-10,8.379015026999291e-11,5.316274338761777e-11,3.298720554471491e-11,1.9972922154144587e-11,1.1858750968752135e-11,6.8597999652856784e-12,3.871342600068936e-12,2.132885397951487e-12,1.1512479069179419e-12
