Fiducial,Line_number,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
10.0,0.0,10.0,0.0,30.0,0.0,59.23452080584715,262.90022477867404,144.05458469978853,577.6771780502695,1086.7694355352305,1932.8222462385386,134.07104172401955,285.8937774343289,122.70040626502195,418.0164615863626,789.1456593882241,1089.343871839551
11.0,0.0,11.0,0.0,30.0,0.0,61.6708602732225,268.1320397111064,145.64340154075126,582.7072951807239,1091.2437232338548,1930.461345286736,136.6262012364364,286.3667367447626,122.64277699268214,419.356018661794,784.1682903901452,1087.0779385803444
12.0,0.0,12.0,0.0,30.0,0.0,64.01381676273421,272.794417781479,147.1000319004557,588.1692746349505,1095.9771972287397,1928.0825938867592,138.9850677773271,286.9166537215993,122.78220421685032,421.0314249352727,779.1512882854155,1084.5909890446756
13.0,0.0,13.0,0.0,30.0,0.0,66.26256273327667,276.98240135255486,148.47668875490115,594.0303342510091,1100.9808141742885,1925.6951508613076,141.1726417956889,287.60028942868826,123.10703325494164,422.91575686560935,774.0913784456707,1081.8709405475383
14.0,0.0,14.0,0.0,30.0,0.0,68.41741981433978,280.78113745121743,149.81418450899127,600.2420570506048,1106.2623320434975,1923.309231680866,143.21153672083724,288.45696480166174,123.6015860554903,424.9244633343008,768.9890322102682,1078.9055355691564
15.0,0.0,15.0,0.0,30.0,0.0,70.47964263977087,284.2660829278348,151.14367161739995,606.7528644289854,1111.829241117729,1920.9361618511234,145.12218378219825,289.51235476118893,124.24822109779947,427.0070837041801,763.847570720954,1075.6823769789085
16.0,0.0,16.0,0.0,30.0,0.0,72.45123390252881,287.50345877161743,152.48823050334568,613.5156011079999,1117.6897872285656,1918.5884357784414,146.92302315075364,290.7815535058602,125.02882752702594,429.1386796831435,758.6718796969516,1072.1889801470154
17.0,0.0,17.0,0.0,30.0,0.0,74.33478679846722,290.55084681084617,153.86430537718977,620.4913906757621,1123.8530313455155,1916.2797796193247,148.630681590688,292.2715516830799,125.92588286485044,431.31203599163206,753.4675328028466,1068.4128317734226
18.0,0.0,18.0,0.0,30.0,0.0,76.1333514294028,293.457860224512,155.28298958404474,627.6508838221235,1130.3286067581623,1914.0252143923103,150.26013696699135,293.9832392481603,126.92316846894244,433.5311961026925,748.2403897357428,1064.3414543641723
19.0,0.0,19.0,0.0,30.0,0.0,77.85032204554393,296.26684426252837,156.7511619410427,634.9738678763281,1137.1264873170956,1911.841117794041,151.82487008296803,295.9130247391907,128.0062150317257,435.80651475218104,742.9964967829192,1059.9624774059382
20.0,0.0,20.0,0.0,30.0,0.0,79.48934231717301,299.01357965234837,158.2724756773986,642.4479931585115,1144.2568528570034,1909.745284253661,153.3370044190536,298.0541427066051,129.16253665561294,438.15115180607,737.7421180755154,1055.2637159034082
21.0,0.0,21.0,0.0,30.0,0.0,81.0542261787769,301.7279714137629,159.84820291461864,650.0671518999525,1151.730037743815,1907.756982561543,154.80743441273074,300.39770588023777,130.38170281917562,440.5787912687071,732.4837951782347,1050.2332565395893
