CMDLINE /usr/local/opt/python@3.8/bin/python3.8 plot_inference_1d_aerotem.py
MEM 166.855469 1612381797.3948
MEM 166.855469 1612381797.5004
MEM 166.855469 1612381797.6108
MEM 166.855469 1612381797.7173
MEM 166.855469 1612381797.8281
MEM 166.855469 1612381797.9345
MEM 166.855469 1612381798.0448
MEM 166.855469 1612381798.1497
MEM 166.855469 1612381798.2579
MEM 166.855469 1612381798.3663
MEM 166.855469 1612381798.4740
MEM 166.859375 1612381798.5806
MEM 166.859375 1612381798.6861
MEM 166.859375 1612381798.7921
MEM 166.859375 1612381798.8983
MEM 166.867188 1612381799.0051
MEM 166.867188 1612381799.1139
MEM 166.867188 1612381799.2239
MEM 166.867188 1612381799.3317
MEM 166.867188 1612381799.4407
MEM 166.867188 1612381799.5476
MEM 166.867188 1612381799.6535
MEM 166.871094 1612381799.7632
MEM 166.871094 1612381799.8705
MEM 166.871094 1612381799.9798
MEM 166.871094 1612381800.0907
MEM 166.871094 1612381800.1966
MEM 166.871094 1612381800.3019
MEM 166.871094 1612381800.4133
MEM 166.882812 1612381800.5237
MEM 166.882812 1612381800.6324
MEM 166.882812 1612381800.7375
MEM 166.882812 1612381800.8470
MEM 166.882812 1612381800.9519
MEM 166.882812 1612381801.0592
MEM 166.882812 1612381801.1673
MEM 166.882812 1612381801.2786
MEM 166.890625 1612381801.3872
MEM 166.890625 1612381801.4946
MEM 166.890625 1612381801.6005
MEM 166.890625 1612381801.7092
MEM 166.890625 1612381801.8158
MEM 166.890625 1612381801.9216
MEM 166.890625 1612381802.0307
MEM 166.890625 1612381802.1370
MEM 166.890625 1612381802.2424
MEM 166.890625 1612381802.3496
MEM 166.894531 1612381802.4561
MEM 166.894531 1612381802.5651
MEM 166.894531 1612381802.6709
MEM 166.894531 1612381802.7811
MEM 166.894531 1612381802.8863
MEM 166.894531 1612381802.9923
MEM 166.894531 1612381803.0988
MEM 166.894531 1612381803.2057
MEM 166.894531 1612381803.3137
MEM 166.894531 1612381803.4221
MEM 166.894531 1612381803.5322
MEM 166.894531 1612381803.6399
MEM 166.894531 1612381803.7470
MEM 166.894531 1612381803.8570
MEM 166.894531 1612381803.9717
MEM 166.894531 1612381804.0804
MEM 166.894531 1612381804.1924
MEM 166.894531 1612381804.3001
MEM 166.894531 1612381804.4076
MEM 166.894531 1612381804.5164
MEM 166.906250 1612381804.6269
MEM 166.906250 1612381804.7368
MEM 166.906250 1612381804.8453
MEM 166.906250 1612381804.9559
MEM 166.906250 1612381805.0651
MEM 166.906250 1612381805.1722
MEM 166.906250 1612381805.2787
MEM 166.906250 1612381805.3853
MEM 166.906250 1612381805.4947
MEM 166.906250 1612381805.6050
MEM 166.906250 1612381805.7148
MEM 166.906250 1612381805.8213
MEM 166.906250 1612381805.9311
MEM 166.906250 1612381806.0363
MEM 166.906250 1612381806.1450
MEM 166.906250 1612381806.2503
MEM 166.906250 1612381806.3582
MEM 166.906250 1612381806.4661
MEM 166.914062 1612381806.5745
MEM 166.914062 1612381806.6812
MEM 166.914062 1612381806.7880
MEM 166.914062 1612381806.8947
MEM 166.914062 1612381807.0056
MEM 166.914062 1612381807.1144
MEM 166.914062 1612381807.2203
MEM 166.914062 1612381807.3297
MEM 166.914062 1612381807.4359
MEM 166.917969 1612381807.5419
MEM 166.917969 1612381807.6472
MEM 166.917969 1612381807.7539
MEM 166.917969 1612381807.8599
MEM 166.917969 1612381807.9663
MEM 166.917969 1612381808.0720
MEM 166.917969 1612381808.1810
MEM 166.917969 1612381808.2885
MEM 166.917969 1612381808.3956
MEM 166.917969 1612381808.5005
MEM 166.917969 1612381808.6067
MEM 166.917969 1612381808.7154
MEM 166.917969 1612381808.8210
MEM 166.917969 1612381808.9267
MEM 166.917969 1612381809.0327
MEM 166.917969 1612381809.1374
MEM 166.917969 1612381809.2450
MEM 166.917969 1612381809.3516
MEM 166.917969 1612381809.4640
MEM 166.917969 1612381809.5749
MEM 166.917969 1612381809.6845
MEM 166.917969 1612381809.7944
MEM 166.917969 1612381809.9052
MEM 166.917969 1612381810.0110
MEM 166.917969 1612381810.1175
MEM 166.917969 1612381810.2250
MEM 166.917969 1612381810.3352
MEM 166.917969 1612381810.4449
MEM 166.917969 1612381810.5539
MEM 166.917969 1612381810.6599
MEM 166.917969 1612381810.7677
MEM 166.921875 1612381810.8781
MEM 166.921875 1612381810.9849
MEM 166.921875 1612381811.0949
MEM 166.921875 1612381811.2055
MEM 166.921875 1612381811.3169
MEM 166.921875 1612381811.4238
MEM 166.921875 1612381811.5309
MEM 166.921875 1612381811.6361
MEM 166.921875 1612381811.7428
MEM 166.921875 1612381811.8485
MEM 166.921875 1612381811.9562
MEM 166.921875 1612381812.0672
MEM 166.921875 1612381812.1747
MEM 166.921875 1612381812.2828
MEM 166.921875 1612381812.3903
MEM 166.921875 1612381812.4967
MEM 166.929688 1612381812.6037
MEM 166.929688 1612381812.7128
MEM 166.929688 1612381812.8197
MEM 166.929688 1612381812.9320
MEM 166.929688 1612381813.0370
MEM 166.929688 1612381813.1456
MEM 166.929688 1612381813.2503
MEM 166.929688 1612381813.3603
MEM 166.929688 1612381813.4707
MEM 166.929688 1612381813.5807
MEM 166.937500 1612381813.6880
MEM 166.937500 1612381813.7978
MEM 166.937500 1612381813.9034
MEM 166.937500 1612381814.0131
MEM 166.937500 1612381814.1193
MEM 166.937500 1612381814.2287
MEM 166.937500 1612381814.3354
MEM 166.937500 1612381814.4403
MEM 166.937500 1612381814.5466
MEM 166.937500 1612381814.6534
MEM 166.937500 1612381814.7636
MEM 166.937500 1612381814.8720
MEM 166.937500 1612381814.9798
MEM 166.937500 1612381815.0893
MEM 166.937500 1612381815.1963
MEM 166.937500 1612381815.3064
MEM 166.937500 1612381815.4184
MEM 166.937500 1612381815.5301
MEM 166.937500 1612381815.6399
MEM 166.941406 1612381815.7472
MEM 166.941406 1612381815.8532
MEM 166.941406 1612381815.9627
MEM 166.941406 1612381816.0703
MEM 166.941406 1612381816.1771
MEM 166.941406 1612381816.2886
MEM 166.941406 1612381816.3966
MEM 166.941406 1612381816.5039
MEM 166.941406 1612381816.6168
MEM 166.941406 1612381816.7242
MEM 166.941406 1612381816.8345
MEM 166.941406 1612381816.9414
MEM 166.941406 1612381817.0481
MEM 166.941406 1612381817.1560
MEM 166.941406 1612381817.2634
MEM 166.941406 1612381817.3688
MEM 166.941406 1612381817.4756
MEM 166.941406 1612381817.5817
MEM 166.945312 1612381817.6886
MEM 166.945312 1612381817.7964
MEM 166.945312 1612381817.9021
MEM 166.945312 1612381818.0076
MEM 166.945312 1612381818.1193
MEM 166.945312 1612381818.2260
MEM 166.945312 1612381818.3354
MEM 166.945312 1612381818.4420
MEM 166.945312 1612381818.5476
MEM 166.945312 1612381818.6548
MEM 166.945312 1612381818.7610
MEM 166.945312 1612381818.8676
MEM 166.945312 1612381818.9785
MEM 166.945312 1612381819.0839
MEM 166.945312 1612381819.1911
MEM 166.945312 1612381819.3003
MEM 166.945312 1612381819.4073
MEM 166.945312 1612381819.5153
MEM 166.945312 1612381819.6217
MEM 166.945312 1612381819.7304
MEM 166.945312 1612381819.8421
MEM 166.945312 1612381819.9494
MEM 166.945312 1612381820.0551
MEM 166.945312 1612381820.1604
MEM 166.945312 1612381820.2677
MEM 166.945312 1612381820.3767
MEM 166.945312 1612381820.4856
MEM 166.945312 1612381820.5916
MEM 166.945312 1612381820.6979
MEM 166.945312 1612381820.8028
MEM 166.945312 1612381820.9114
MEM 166.945312 1612381821.0187
MEM 166.945312 1612381821.1275
MEM 166.945312 1612381821.2370
MEM 166.945312 1612381821.3470
MEM 166.945312 1612381821.4529
MEM 166.945312 1612381821.5588
MEM 166.945312 1612381821.6696
MEM 166.945312 1612381821.7749
MEM 166.945312 1612381821.8804
MEM 166.945312 1612381821.9914
MEM 166.945312 1612381822.0979
MEM 166.945312 1612381822.2083
MEM 166.945312 1612381822.3163
MEM 166.945312 1612381822.4234
MEM 166.945312 1612381822.5310
MEM 166.945312 1612381822.6370
MEM 166.945312 1612381822.7426
MEM 166.945312 1612381822.8519
MEM 166.945312 1612381822.9621
MEM 166.949219 1612381823.0708
MEM 166.949219 1612381823.1771
MEM 166.949219 1612381823.2838
MEM 166.949219 1612381823.3897
MEM 166.949219 1612381823.4965
MEM 166.949219 1612381823.6026
MEM 166.949219 1612381823.7117
MEM 166.949219 1612381823.8206
MEM 166.949219 1612381823.9306
MEM 166.949219 1612381824.0359
MEM 166.949219 1612381824.1441
MEM 166.949219 1612381824.2503
MEM 166.949219 1612381824.3549
MEM 166.949219 1612381824.4617
MEM 166.949219 1612381824.5699
MEM 166.949219 1612381824.6783
MEM 166.949219 1612381824.7856
MEM 166.953125 1612381824.8973
MEM 166.957031 1612381825.0054
MEM 166.957031 1612381825.1120
MEM 166.957031 1612381825.2184
MEM 166.957031 1612381825.3242
MEM 166.957031 1612381825.4306
MEM 166.957031 1612381825.5357
MEM 166.957031 1612381825.6407
MEM 166.957031 1612381825.7470
MEM 166.957031 1612381825.8576
MEM 166.957031 1612381825.9646
MEM 166.957031 1612381826.0708
MEM 166.957031 1612381826.1771
MEM 166.957031 1612381826.2837
MEM 166.957031 1612381826.3899
MEM 166.957031 1612381826.4965
MEM 166.957031 1612381826.6017
MEM 166.957031 1612381826.7106
MEM 166.957031 1612381826.8184
MEM 166.957031 1612381826.9268
MEM 166.957031 1612381827.0371
MEM 166.957031 1612381827.1494
MEM 166.957031 1612381827.2559
MEM 166.957031 1612381827.3621
MEM 166.957031 1612381827.4695
MEM 166.957031 1612381827.5766
MEM 166.957031 1612381827.6862
MEM 166.957031 1612381827.7924
MEM 166.957031 1612381827.8987
MEM 166.957031 1612381828.0066
MEM 166.957031 1612381828.1140
MEM 166.957031 1612381828.2215
MEM 166.957031 1612381828.3285
MEM 166.957031 1612381828.4348
MEM 166.957031 1612381828.5399
MEM 166.964844 1612381828.6467
MEM 166.964844 1612381828.7549
MEM 166.964844 1612381828.8650
MEM 166.964844 1612381828.9726
MEM 166.964844 1612381829.0802
MEM 166.964844 1612381829.1863
MEM 166.964844 1612381829.2967
MEM 166.964844 1612381829.4034
MEM 166.964844 1612381829.5114
MEM 166.964844 1612381829.6183
MEM 166.964844 1612381829.7302
MEM 166.964844 1612381829.8357
MEM 166.964844 1612381829.9437
MEM 166.964844 1612381830.0500
MEM 166.964844 1612381830.1576
MEM 166.964844 1612381830.2645
MEM 166.964844 1612381830.3719
MEM 166.964844 1612381830.4806
MEM 166.964844 1612381830.5945
MEM 166.964844 1612381830.7017
MEM 166.964844 1612381830.8101
MEM 166.964844 1612381830.9161
MEM 166.964844 1612381831.0226
MEM 166.964844 1612381831.1291
MEM 166.964844 1612381831.2403
MEM 166.968750 1612381831.3475
MEM 166.968750 1612381831.4581
MEM 166.968750 1612381831.5637
MEM 166.968750 1612381831.6710
MEM 166.968750 1612381831.7804
MEM 166.968750 1612381831.8855
MEM 166.968750 1612381831.9920
MEM 166.968750 1612381832.0983
MEM 166.968750 1612381832.2050
MEM 166.968750 1612381832.3111
MEM 166.968750 1612381832.4198
MEM 166.968750 1612381832.5265
MEM 166.968750 1612381832.6364
MEM 166.968750 1612381832.7443
MEM 166.968750 1612381832.8498
MEM 166.968750 1612381832.9564
MEM 166.968750 1612381833.0623
MEM 166.968750 1612381833.1698
MEM 166.968750 1612381833.2762
MEM 166.968750 1612381833.3858
MEM 166.968750 1612381833.4945
MEM 166.968750 1612381833.6048
MEM 166.968750 1612381833.7113
MEM 166.968750 1612381833.8203
MEM 166.968750 1612381833.9311
MEM 166.968750 1612381834.0397
MEM 166.968750 1612381834.1456
MEM 166.968750 1612381834.2511
MEM 166.968750 1612381834.3605
MEM 166.968750 1612381834.4710
MEM 166.972656 1612381834.5788
MEM 166.972656 1612381834.6861
MEM 166.972656 1612381834.7966
MEM 166.972656 1612381834.9051
MEM 166.972656 1612381835.0127
MEM 166.972656 1612381835.1244
MEM 166.972656 1612381835.2306
MEM 166.972656 1612381835.3387
MEM 166.972656 1612381835.4441
MEM 166.976562 1612381835.5510
MEM 166.976562 1612381835.6584
MEM 166.976562 1612381835.7642
MEM 166.976562 1612381835.8739
MEM 166.976562 1612381835.9828
MEM 166.976562 1612381836.0895
MEM 166.976562 1612381836.1974
MEM 166.976562 1612381836.3033
MEM 166.976562 1612381836.4092
MEM 166.976562 1612381836.5156
MEM 166.976562 1612381836.6249
MEM 166.976562 1612381836.7311
MEM 166.976562 1612381836.8402
MEM 166.976562 1612381836.9469
MEM 166.976562 1612381837.0560
MEM 166.976562 1612381837.1628
MEM 166.976562 1612381837.2714
MEM 166.976562 1612381837.3815
MEM 166.976562 1612381837.4876
MEM 166.976562 1612381837.5991
MEM 166.976562 1612381837.7071
MEM 166.976562 1612381837.8130
MEM 166.976562 1612381837.9200
MEM 166.976562 1612381838.0262
MEM 166.976562 1612381838.1361
MEM 166.976562 1612381838.2440
MEM 166.976562 1612381838.3525
