line,id,E, N,elevation,alt,txrx_dx, txrx_dy, txrx_dz, TxRoll,TxPitch,TxYaw,RxRoll,RxPitch,RxYaw,Off[0],Off[1],Off[2],Off[3],Off[4],Off[5],Off[6],Off[7],Off[8],Off[9],Off[10],Off[11],Off[12],Off[13],Off[14],Off[15],Off[16],Off[17],Off[18],Off[19],Off[20],Off[21],Off[22],Off[23],Off[24],Off[25],Off[26],Off[27],Off[28],Off[29],Off[30],Off[31],Off[32],Off[33]
100101,     207.0,  432532.2,4194873.5, 2308.1, 29.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4930e-11, 4.0959e-11, 2.6626e-11, 1.7260e-11, 1.0950e-11, 6.7627e-12, 4.1297e-12, 2.4491e-12, 1.5034e-12, 9.2220e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     208.0,  432560.2,4194882.5, 2308.4, 29.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5030e-11, 4.1165e-11, 2.6794e-11, 1.7434e-11, 1.1032e-11, 6.8257e-12, 4.1297e-12, 2.4553e-12, 1.5695e-12, 1.0009e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     209.0,  432588.2,4194891.0, 2308.8, 29.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5159e-11, 4.1401e-11, 2.6984e-11, 1.7714e-11, 1.1284e-11, 7.0585e-12, 4.3037e-12, 2.5298e-12, 1.5964e-12, 1.0170e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     210.0,  432616.0,4194899.0, 2309.0, 29.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5943e-11, 4.1972e-11, 2.7364e-11, 1.7756e-11, 1.1313e-11, 7.0753e-12, 4.3238e-12, 2.5945e-12, 1.5977e-12, 1.0135e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     211.0,  432643.2,4194907.0, 2309.0, 28.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5987e-11, 4.2084e-11, 2.7177e-11, 1.7663e-11, 1.1280e-11, 7.0180e-12, 4.3223e-12, 2.5076e-12, 1.5138e-12, 9.2182e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     212.0,  432669.9,4194914.5, 2309.0, 28.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5159e-11, 4.1490e-11, 2.6738e-11, 1.7465e-11, 1.1160e-11, 6.9614e-12, 4.2762e-12, 2.5104e-12, 1.5017e-12, 9.0965e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     213.0,  432696.6,4194922.0, 2309.0, 28.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3775e-11, 4.0278e-11, 2.6182e-11, 1.6882e-11, 1.0984e-11, 6.8370e-12, 4.2085e-12, 2.5030e-12, 1.5511e-12, 9.4195e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     214.0,  432723.3,4194930.0, 2309.0, 27.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3238e-11, 4.0043e-11, 2.5848e-11, 1.6554e-11, 1.0678e-11, 6.6032e-12, 4.0715e-12, 2.4571e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     215.0,  432750.3,4194939.0, 2309.0, 26.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3789e-11, 4.0345e-11, 2.5861e-11, 1.6504e-11, 1.0536e-11, 6.5226e-12, 4.0338e-12, 2.4571e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     216.0,  432777.3,4194948.5, 2309.0, 26.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5317e-11, 4.0660e-11, 2.5895e-11, 1.6499e-11, 1.0473e-11, 6.5268e-12, 4.0311e-12, 2.4975e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
