Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_5.811e-05,S0Z_time_8.588e-05,S0Z_time_1.137e-04,S0Z_time_1.414e-04,S0Z_time_1.692e-04,S0Z_time_1.970e-04,S0Z_time_2.248e-04,S0Z_time_2.525e-04,S0Z_time_2.803e-04,S0Z_time_3.081e-04,S0Z_time_3.359e-04,S0Z_time_3.637e-04,S0Z_time_3.914e-04,S0Z_time_4.192e-04,S0Z_time_4.470e-04,S0Z_time_4.748e-04,S0Z_time_5.026e-04,S0Z_time_5.442e-04,S0Z_time_5.998e-04,S0Z_time_6.692e-04,S0Z_time_7.526e-04,S0Z_time_8.359e-04,S0Z_time_9.331e-04,S0Z_time_1.044e-03,S0Z_time_1.169e-03,S0Z_time_1.308e-03,S0Z_time_1.461e-03,S0Z_time_1.628e-03,S0Z_time_1.822e-03,S0Z_time_2.044e-03,S0Z_time_2.280e-03,S0Z_time_2.544e-03,S0Z_time_2.850e-03,S0Z_time_3.197e-03
0.0,40,40.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.1754379045805571e-05,9.098431844726487e-06,6.733020133268335e-06,5.8000529620536655e-06,4.566743765716161e-06,3.985100466030581e-06,3.4673145289715595e-06,3.1146094380714662e-06,2.762512527938174e-06,2.4978370065792306e-06,2.227407645191481e-06,1.9774572133562572e-06,1.7999311863674323e-06,1.696566804089176e-06,1.457225485299056e-06,1.388796720327349e-06,1.1810092140666085e-06,1.1228871710542764e-06,9.402097278050136e-07,8.013084502483409e-07,6.792988267593914e-07,5.521205983035756e-07,4.6381122232153774e-07,3.8296255627329496e-07,2.990671152248284e-07,2.451050377069747e-07,1.8722649922336065e-07,1.5073112217234248e-07,1.1646026225317401e-07,9.476419893924944e-08,7.255811576557957e-08,5.4576515219226606e-08,4.261525134642304e-08,3.333975750604252e-08
0.0,41,41.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.1851535898120278e-05,8.58765069168101e-06,7.025565099869244e-06,5.39251241461222e-06,4.923004985947843e-06,4.059961820953999e-06,3.5121772323576576e-06,3.202166311188074e-06,2.6466302283946853e-06,2.6014441923237847e-06,2.1717810445696974e-06,1.955378096360402e-06,1.8551123352730635e-06,1.6728872894860034e-06,1.6067981397123218e-06,1.3637029596530192e-06,1.2579422207060012e-06,1.0713427656511602e-06,9.543941663380252e-07,7.917694890494413e-07,6.560682040217082e-07,5.253477501258632e-07,4.784130074351352e-07,3.538210528486155e-07,2.7254312326399013e-07,2.2965518283772948e-07,1.8667974043777576e-07,1.461583677708421e-07,1.229523099613479e-07,9.163037054281077e-08,7.185462946439924e-08,5.6896646004026255e-08,4.292519799644684e-08,3.332998768313667e-08
0.0,42,42.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.1665903005651461e-05,8.833799608623856e-06,7.246904074182653e-06,5.374969233828644e-06,4.678806594791186e-06,4.230990431826503e-06,3.557821847680901e-06,3.2495213829492455e-06,2.862566894852289e-06,2.3989770423274707e-06,2.2576068593701816e-06,2.082824745843894e-06,1.8291827769002819e-06,1.6084027558219155e-06,1.55369293950126e-06,1.4142503885203029e-06,1.2972326010574852e-06,1.1575870000342354e-06,8.865654569121918e-07,8.391316409076621e-07,7.079567860529891e-07,5.668910015444884e-07,4.623081066876243e-07,3.804241047723836e-07,3.0301924415696726e-07,2.445712295459393e-07,1.9132125786694222e-07,1.4871265550361854e-07,1.1568111510459889e-07,8.944307779606372e-08,6.875814732168909e-08,5.377813825934101e-08,4.5417943846006775e-08,3.309385198280281e-08
0.0,43,43.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.2044127360886181e-05,9.019437782661267e-06,7.238468824367773e-06,5.786885019534024e-06,4.959470134791676e-06,4.324253516125594e-06,3.6541636006555724e-06,3.2342163845121873e-06,2.9055794845190257e-06,2.4988687476970147e-06,2.2769326740334704e-06,2.0155662467997215e-06,1.8410162329294989e-06,1.659885186899911e-06,1.5067320344746869e-06,1.4107093595456123e-06,1.312534674732982e-06,1.1505653342266485e-06,9.991559739208986e-07,8.075629947818806e-07,6.53556175123138e-07,5.718849528224213e-07,4.733390791927419e-07,3.762883947258577e-07,3.1457263178658e-07,2.481570860485433e-07,2.082229935979954e-07,1.5219510274716188e-07,1.1625493436982708e-07,9.057049666934364e-08,7.092733795454323e-08,5.69571147069527e-08,3.9159835186639076e-08,3.395201214784491e-08
0.0,44,44.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.2396158457105088e-05,9.20570059485804e-06,7.088188231786911e-06,5.969687994695085e-06,5.021941069434057e-06,4.268284059214528e-06,3.7448165907586425e-06,3.1863734269159684e-06,2.7893781292922506e-06,2.592867427340911e-06,2.2920420368593614e-06,2.0710795675044154e-06,1.9235980048183707e-06,1.6436676627143476e-06,1.5088058451588142e-06,1.4727560759851007e-06,1.2468614330604613e-06,1.1124996204888045e-06,1.0192823962744944e-06,8.403141830738543e-07,6.869407882191748e-07,5.686030021922625e-07,4.6838595455573526e-07,3.778811558302931e-07,3.171370302748048e-07,2.403385453135938e-07,1.9281899601843783e-07,1.6251289116583766e-07,1.206970513304529e-07,9.978592084408204e-08,7.22947923771686e-08,5.888239666977364e-08,4.008140642329056e-08,3.240841034166927e-08
0.0,45,45.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.2098445279457154e-05,9.664315992883416e-06,7.168172882335585e-06,6.1308081401495124e-06,5.048570206896411e-06,4.192293598798525e-06,3.5743879231525163e-06,3.2358301798066184e-06,3.0546717441180566e-06,2.5600761558670456e-06,2.3769616335262153e-06,2.08011709100512e-06,1.9360383476365767e-06,1.6213997344217478e-06,1.5473468678948474e-06,1.4761327076561682e-06,1.3129986629875942e-06,1.1676105627355893e-06,9.92453101190054e-07,8.720488753020323e-07,6.977713169548562e-07,5.76403185715747e-07,4.813727705438854e-07,3.889956063806912e-07,3.0912065716237665e-07,2.565720315280104e-07,1.9473005074211698e-07,1.5628871200499254e-07,1.1881262820366278e-07,9.403631282240758e-08,7.66492138349487e-08,5.512601928227725e-08,4.104320551375825e-08,3.365807239421991e-08
0.0,46,46.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.2866080026794744e-05,9.607493155282452e-06,7.54430832714158e-06,6.18418012622824e-06,5.296443958555522e-06,4.292591340774022e-06,3.691931151021845e-06,3.337813528988712e-06,2.798551638959168e-06,2.5074621160704494e-06,2.4728680328865828e-06,2.1567338746770176e-06,1.9081926068693e-06,1.7999023762090846e-06,1.5348091614718928e-06,1.4377332449362432e-06,1.359142796637057e-06,1.215086469281614e-06,1.0318143389084792e-06,7.867116150012029e-07,6.782004287402811e-07,5.895348828469216e-07,4.715166224066669e-07,4.1508990167167e-07,3.18355294520572e-07,2.5114860292607333e-07,1.8978252222378688e-07,1.5578044924466305e-07,1.2283271878672932e-07,9.741993870291659e-08,7.526570382507128e-08,5.862707211191532e-08,4.150609474668662e-08,3.431762270483572e-08
0.0,47,47.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.2605899582516155e-05,9.581006737375293e-06,7.771659743836159e-06,6.233535890669187e-06,5.080806160331578e-06,4.354650023501139e-06,3.679669800762146e-06,3.4269383030064513e-06,3.0906360925699597e-06,2.6400618374520067e-06,2.3420578729062177e-06,2.039992193717151e-06,1.9843418655727564e-06,1.8721900223020681e-06,1.516060019191216e-06,1.4210794547880975e-06,1.3215711941291955e-06,1.1761537699704812e-06,1.0340389470645074e-06,9.022434054985738e-07,7.268975605411878e-07,5.961545571772405e-07,4.7060273053355425e-07,3.759217168815773e-07,3.048011128323694e-07,2.605817402182653e-07,1.9751087246249305e-07,1.548246293896007e-07,1.2193282021161635e-07,9.700557734940129e-08,7.029034668470926e-08,5.960283667719705e-08,4.340289039925498e-08,3.2131078344858126e-08
0.0,48,48.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.3560414334744791e-05,9.963458444273266e-06,7.712354684100214e-06,6.3073857621712385e-06,5.175973483567613e-06,4.616115254853294e-06,3.8487269470263475e-06,3.3195118622426696e-06,3.031331356663663e-06,2.788280492670711e-06,2.3962694039050123e-06,2.1206765303402236e-06,1.9780583704473458e-06,1.8794417827541453e-06,1.5503177736467253e-06,1.5015985981224883e-06,1.3725683179767992e-06,1.2517034548369321e-06,1.0688977799354765e-06,8.646214810865545e-07,6.76581785423956e-07,6.069412114014743e-07,4.734093557164346e-07,3.813549095255488e-07,3.258920358811699e-07,2.439978825219502e-07,2.0785972923935704e-07,1.5967099073810302e-07,1.2460599184278666e-07,9.596236917099389e-08,6.98333990283438e-08,5.3516156003642365e-08,4.364200660421046e-08,3.3314557806982455e-08
0.0,49,49.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.3654027517089432e-05,9.81509754632179e-06,7.920037589933286e-06,6.435329858039627e-06,5.236606693409835e-06,4.729936190474049e-06,3.758449334513595e-06,3.5238678428998474e-06,3.090436268943636e-06,2.797407826766989e-06,2.3561038494370996e-06,2.192906085407556e-06,2.106463926178048e-06,1.832712984440669e-06,1.644564008384996e-06,1.5257203730118286e-06,1.3830131652644483e-06,1.3032236163870726e-06,1.080123991548171e-06,8.763014781204746e-07,7.252864536963482e-07,5.913590113175553e-07,5.080352994994073e-07,3.793436635616423e-07,3.0232770779775053e-07,2.6412622660325066e-07,2.1402115681343278e-07,1.6143479312148407e-07,1.2459866325562823e-07,9.756328481067626e-08,7.260180707590253e-08,5.762122740211785e-08,4.350408472226396e-08,3.3491279712307524e-08
0.0,50,50.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.321563223371489e-05,1.007556335823436e-05,8.244563136875521e-06,6.415917693231597e-06,5.306710877801491e-06,4.9398718983966616e-06,4.022775603179145e-06,3.447621816228927e-06,2.937552670526774e-06,2.8096126513565462e-06,2.5110156417186753e-06,2.1929444743757794e-06,1.93501861949042e-06,1.8167365903556023e-06,1.6169348490360133e-06,1.4755680944322439e-06,1.39058490664435e-06,1.1972535318718437e-06,1.0682540049850955e-06,9.039326831543685e-07,7.087794855175367e-07,5.794221899869988e-07,5.180931293670081e-07,3.884209318582115e-07,3.1410473629758386e-07,2.5669656364335846e-07,2.061146862492283e-07,1.5903470598506227e-07,1.2676415181999767e-07,9.490184728645613e-08,7.218612447119092e-08,6.038454115699787e-08,4.769891544617692e-08,3.509084343024556e-08
0.0,51,51.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.4172869455696783e-05,1.0975125494269621e-05,8.255610494254236e-06,6.552742265068231e-06,5.627060210411889e-06,4.706849736361551e-06,3.9528800681591134e-06,3.459321536463407e-06,3.2101862768102607e-06,2.629998223560318e-06,2.535031861466037e-06,2.130165849232676e-06,1.8962011525064864e-06,1.7379233886780169e-06,1.7766971362845887e-06,1.5267304919305492e-06,1.4142177980661903e-06,1.3030959817946876e-06,1.1018401921044003e-06,8.595316767216057e-07,7.536473109945293e-07,6.135875916836572e-07,4.944493043088458e-07,4.0370691547210317e-07,3.357870758675461e-07,2.5029446752815215e-07,2.0650743194021278e-07,1.614233978324208e-07,1.1880011477904903e-07,9.424581996553389e-08,7.544549244611403e-08,6.040913348310046e-08,4.5426198286783376e-08,3.365912589478985e-08
0.0,52,52.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.4016660936482943e-05,1.1150052640780796e-05,8.352336467654913e-06,6.545345892688574e-06,5.599655990728246e-06,4.915562473931015e-06,4.129689792739169e-06,3.698299501505072e-06,3.2805865306458046e-06,2.8534362215272933e-06,2.455940813588638e-06,2.276145735897206e-06,2.052068173809083e-06,1.9648528903114553e-06,1.6142739868576033e-06,1.5469833803879458e-06,1.4013897974184453e-06,1.276329030004049e-06,1.0040473162692071e-06,9.367172521821333e-07,7.422330956763807e-07,5.820732872198439e-07,4.988818418791754e-07,4.1459968472730255e-07,3.105216719957037e-07,2.593865282889181e-07,1.9904287860564923e-07,1.5991076105877915e-07,1.2679173732072353e-07,9.787855883892084e-08,7.422814175075244e-08,5.864680601356777e-08,4.5309135298836876e-08,3.2542322257124446e-08
0.0,53,53.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.5257845530696016e-05,1.1229701236549534e-05,8.323271843033106e-06,6.721106014574033e-06,5.427926444704852e-06,4.836208125713083e-06,4.139768912860832e-06,3.7358377037347443e-06,3.071054663168847e-06,2.8316238864562485e-06,2.62634086305509e-06,2.2442944573798684e-06,2.0263879993410684e-06,1.8011801131130302e-06,1.8517313381813262e-06,1.5357436932450053e-06,1.3861380767993998e-06,1.2467253148226475e-06,1.0695038018128664e-06,9.084546941253301e-07,7.680303273772758e-07,6.167286476484807e-07,4.950611037561733e-07,3.92958080009944e-07,3.293002194173466e-07,2.61907797119402e-07,2.169599017818399e-07,1.643835803088878e-07,1.2718998645717253e-07,9.467797055211708e-08,7.507193530128663e-08,5.7514655732667977e-08,4.353341608042204e-08,3.170405039800211e-08
0.0,54,54.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.5138012484968137e-05,1.0894370448497183e-05,8.515908348417263e-06,6.599567622786463e-06,5.883133742684627e-06,4.995547554153315e-06,4.136190335120688e-06,3.8092419451400415e-06,3.1252689920464836e-06,2.88985785525539e-06,2.562943670885506e-06,2.2308182559375055e-06,2.1106369367271425e-06,2.002440352268796e-06,1.740168452029919e-06,1.5668386515998504e-06,1.4782176227182095e-06,1.2957309484349927e-06,1.107651699655208e-06,9.136241832899155e-07,7.893896828766166e-07,6.37066965582401e-07,5.059003788896772e-07,4.1337445050711666e-07,3.2461211469983285e-07,2.5896231155771614e-07,2.0494192136587486e-07,1.5945179723556994e-07,1.3159655549594347e-07,9.767720116701012e-08,7.767312444496082e-08,5.73558048517345e-08,4.4249729965252124e-08,3.217957635490779e-08
0.0,55,55.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.549945093672693e-05,1.1045600135102505e-05,8.515001810318731e-06,6.716524474053393e-06,5.9315896496634505e-06,4.8876547768388964e-06,4.299537382928858e-06,3.6936705762387967e-06,3.3958018583069913e-06,2.9764811913102168e-06,2.6513416475935667e-06,2.3075722762879852e-06,2.1536142509926305e-06,2.0267839309891983e-06,1.7129385020083052e-06,1.615387149558712e-06,1.4020792459177425e-06,1.3606986879379547e-06,1.105284274267834e-06,9.571049028834322e-07,7.251781799704436e-07,6.689311185741447e-07,5.134365128278974e-07,4.25452768277543e-07,3.365332155198842e-07,2.640343795927687e-07,2.2152265502012472e-07,1.5808416708058692e-07,1.3064080900936284e-07,1.0211263335375406e-07,7.668725522970656e-08,5.8799656442278545e-08,4.432444640513875e-08,3.1582373549532544e-08
0.0,56,56.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.5470827067111377e-05,1.1494258539211099e-05,8.865451368263563e-06,7.11507935523842e-06,5.8824594700088944e-06,5.0227467513911785e-06,4.525687275489505e-06,3.5615569374827087e-06,3.3485810554394534e-06,2.9369746643529455e-06,2.7646814567318547e-06,2.3838246818374954e-06,2.245221367137347e-06,1.82610096459583e-06,1.8017396071878592e-06,1.6391294535663577e-06,1.5539564296028078e-06,1.2552839944847788e-06,1.125433944157718e-06,9.468066554625144e-07,7.610187828714308e-07,6.643548153242946e-07,5.186536442535013e-07,4.4834521284325996e-07,3.48766693810293e-07,2.7610833953279967e-07,2.160898867975285e-07,1.6233523338810544e-07,1.2866541875311118e-07,1.0174723404599923e-07,7.896091875832833e-08,6.204978942557405e-08,4.400199330218189e-08,3.2241944337082373e-08
0.0,57,57.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,1.614712094685014e-05,1.1236328866010284e-05,9.227111528553889e-06,7.547230822575583e-06,6.141939967573136e-06,5.082737313954651e-06,4.427137764265171e-06,3.919213808162817e-06,3.3895405385842827e-06,3.2023177954715645e-06,2.6024825186978344e-06,2.336631789218125e-06,2.111607205436491e-06,1.9385768712088262e-06,1.6803791562574243e-06,1.6130365278791564e-06,1.4789810369710186e-06,1.3380654446513956e-06,1.157216917257534e-06,9.192892943953702e-07,8.01460543925846e-07,6.823083338222205e-07,5.257095806360108e-07,4.466133701775491e-07,3.431173441802886e-07,2.869988335902859e-07,2.2152165508351124e-07,1.6104432545316584e-07,1.3146484872640524e-07,1.0399230689695129e-07,7.783140536671952e-08,5.965501797210967e-08,4.715032882236834e-08,3.260251277135122e-08
